epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.704,0.56832,0.59869,1.01876,0.71925,0.62433,0.66312,0.49978,1.17733,1.44244,1.54114,0.000193958,0.000193958,0.000193958
2,207.979,0.57975,0.58283,1.01021,0.66888,0.60192,0.65452,0.48925,1.19207,1.44402,1.63807,0.000364221,0.000364221,0.000364221
3,313.803,0.6128,0.6177,1.02012,0.65447,0.59467,0.60117,0.45975,1.20768,1.58952,1.60378,0.000508612,0.000508612,0.000508612
4,418.562,0.6329,0.65431,1.05495,0.65764,0.64726,0.59887,0.4634,1.18619,1.56909,1.56502,0.000471576,0.000471576,0.000471576
5,525.716,0.64669,0.67157,1.05564,0.59137,0.58622,0.62613,0.46166,1.22308,1.43125,1.59919,0.000432768,0.000432768,0.000432768
6,631.303,0.65421,0.74443,1.0689,0.60482,0.67702,0.61517,0.4518,1.24323,1.5541,1.65971,0.00039396,0.00039396,0.00039396
7,779.05,0.63109,0.68186,1.03916,0.64744,0.61248,0.62173,0.45008,1.26297,1.53785,1.64527,0.000355152,0.000355152,0.000355152
8,992.407,0.63868,0.69589,1.05588,0.74484,0.57049,0.6603,0.49588,1.23914,1.52245,1.6354,0.000316344,0.000316344,0.000316344
9,1167.79,0.63645,0.6642,1.03799,0.7026,0.61166,0.61805,0.45285,1.24317,1.52105,1.66119,0.000277536,0.000277536,0.000277536
10,1266.92,0.62289,0.65027,1.04973,0.64146,0.59099,0.63498,0.46314,1.22111,1.53206,1.64842,0.000238728,0.000238728,0.000238728
11,1368.97,0.59159,0.63044,1.02957,0.58345,0.61843,0.63069,0.45628,1.23138,1.49173,1.65008,0.00019992,0.00019992,0.00019992
12,1471.44,0.57159,0.58673,1.02992,0.71668,0.60212,0.64697,0.48535,1.22825,1.43709,1.66084,0.000161112,0.000161112,0.000161112
13,1573.37,0.52139,0.53397,0.96795,0.6873,0.65361,0.66268,0.48363,1.20253,1.41668,1.65474,0.000122304,0.000122304,0.000122304
14,1675.49,0.53666,0.52892,0.98354,0.75203,0.59969,0.66519,0.50269,1.17204,1.43966,1.61127,8.3496e-05,8.3496e-05,8.3496e-05
15,1777.18,0.53635,0.55007,0.99267,0.75395,0.62065,0.66863,0.49277,1.17529,1.42833,1.58762,4.4688e-05,4.4688e-05,4.4688e-05
