epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.351,0.75855,0.99473,1.13645,0.7435,0.63247,0.67628,0.49132,1.25221,1.73346,1.6196,0.000193958,0.000193958,0.000193958
2,223.22,0.79933,0.97396,1.15776,0.53264,0.65679,0.60263,0.42509,1.28679,1.70947,1.67895,0.000370655,0.000370655,0.000370655
3,326.654,0.82095,0.98924,1.16936,0.64415,0.57717,0.59762,0.44343,1.20395,1.73702,1.57556,0.000527948,0.000527948,0.000527948
4,429.444,0.82397,1.03343,1.18981,0.64763,0.67263,0.65667,0.48618,1.28843,1.74525,1.60672,0.000500682,0.000500682,0.000500682
5,532.806,0.82542,1.03044,1.17889,0.58925,0.53558,0.59378,0.43691,1.22542,1.63325,1.57203,0.000471576,0.000471576,0.000471576
6,635.717,0.80842,0.99637,1.16767,0.61876,0.59719,0.58483,0.42552,1.23211,1.64153,1.61326,0.00044247,0.00044247,0.00044247
7,740.186,0.82432,0.9838,1.17027,0.49854,0.68524,0.57927,0.43012,1.26489,1.83291,1.62389,0.000413364,0.000413364,0.000413364
8,843.371,0.82063,0.97135,1.17384,0.69007,0.605,0.63984,0.46283,1.27691,1.65593,1.64215,0.000384258,0.000384258,0.000384258
9,946.337,0.81145,0.98187,1.1677,0.68979,0.58037,0.61107,0.45369,1.25031,1.70363,1.61378,0.000355152,0.000355152,0.000355152
10,1048.73,0.80964,0.97893,1.18198,0.69823,0.58338,0.59651,0.44373,1.22397,1.61501,1.55166,0.000326046,0.000326046,0.000326046
11,1150.66,0.74285,0.99428,1.12566,0.58768,0.62332,0.59984,0.42481,1.27168,1.62785,1.62963,0.00029694,0.00029694,0.00029694
12,1324.93,0.71835,1.02641,1.12787,0.69485,0.56766,0.62473,0.46161,1.24157,1.59937,1.62733,0.000267834,0.000267834,0.000267834
13,1424.36,0.68297,0.86421,1.11427,0.63523,0.6004,0.61385,0.45781,1.19762,1.58981,1.56774,0.000238728,0.000238728,0.000238728
14,1526.35,0.63081,0.81177,1.05605,0.63208,0.64544,0.61178,0.4641,1.17176,1.57153,1.54209,0.000209622,0.000209622,0.000209622
15,1629.23,0.64248,0.79394,1.07062,0.60631,0.69435,0.65474,0.48578,1.20204,1.5108,1.57106,0.000180516,0.000180516,0.000180516
16,1731.13,0.60633,0.75088,1.04096,0.63942,0.6336,0.61986,0.45906,1.20031,1.60751,1.563,0.00015141,0.00015141,0.00015141
17,1836.69,0.60233,0.71993,1.05818,0.63665,0.62002,0.61126,0.45259,1.20344,1.59364,1.55839,0.000122304,0.000122304,0.000122304
18,1944.52,0.59921,0.67703,1.02505,0.73684,0.61173,0.62124,0.44776,1.21905,1.60215,1.59732,9.3198e-05,9.3198e-05,9.3198e-05
19,2051.43,0.57611,0.69044,1.03196,0.74133,0.60241,0.60921,0.45428,1.19148,1.58062,1.57732,6.4092e-05,6.4092e-05,6.4092e-05
20,2156.38,0.56049,0.68354,1.01515,0.75019,0.6104,0.62491,0.46747,1.17607,1.5362,1.54975,3.4986e-05,3.4986e-05,3.4986e-05
