epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.081,1.14869,3.20998,1.5497,0.5305,0.3789,0.33471,0.25414,1.10963,2.75621,1.43205,0.000191917,0.000191917,0.000191917
2,263.951,1.17335,3.00524,1.52288,0.46801,0.34533,0.30756,0.21781,1.18561,2.81721,1.52149,0.000349513,0.000349513,0.000349513
3,378.103,1.19055,2.91322,1.53896,0.51229,0.35227,0.31391,0.21492,1.27682,3.07377,1.54471,0.000468301,0.000468301,0.000468301
4,487.61,1.18755,2.89476,1.51099,0.58019,0.35675,0.35984,0.2488,1.27983,2.85624,1.62606,0.000413364,0.000413364,0.000413364
5,596.274,1.14399,2.62504,1.4883,0.5833,0.45521,0.41278,0.30284,1.16151,3.1911,1.50116,0.000355152,0.000355152,0.000355152
6,710.386,1.15832,2.63673,1.53906,0.69829,0.43055,0.4566,0.3301,1.10269,2.55038,1.44411,0.00029694,0.00029694,0.00029694
7,830.565,1.07312,2.45931,1.44506,0.72741,0.42387,0.48555,0.35994,1.12305,2.2793,1.47059,0.000238728,0.000238728,0.000238728
8,950.73,1.02886,2.32665,1.41024,0.68231,0.55301,0.48227,0.34803,1.10811,2.2168,1.47632,0.000180516,0.000180516,0.000180516
9,1070.9,0.99992,2.26212,1.39258,0.70348,0.50622,0.51057,0.38224,1.06466,2.23044,1.42988,0.000122304,0.000122304,0.000122304
10,1200.04,0.98195,2.22047,1.37236,0.70707,0.50168,0.52525,0.39233,1.04016,2.15113,1.40828,6.4092e-05,6.4092e-05,6.4092e-05
