epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.529,1.25081,2.0154,1.61376,0.62099,0.35316,0.32428,0.23853,1.35574,2.38811,1.90694,0.000471266,0.000471266,0.000471266
2,125.621,1.22595,1.88674,1.59598,0.58538,0.42148,0.31807,0.22714,1.48392,2.16334,2.00259,0.000910074,0.000910074,0.000910074
3,185.069,1.24913,1.871,1.6414,0.65326,0.37726,0.33257,0.22667,1.52691,2.19642,2.00911,0.00131116,0.00131116,0.00131116
4,250.042,1.45813,1.98919,1.75366,0.69348,0.32848,0.33978,0.22611,1.53508,2.35826,2.04334,0.00125923,0.00125923,0.00125923
5,326.967,1.37371,1.89443,1.70388,0.61615,0.37386,0.31335,0.22178,1.51721,2.26312,2.0747,0.00120265,0.00120265,0.00120265
6,396.792,1.39788,1.97771,1.7389,0.64428,0.40816,0.34444,0.2194,1.63789,2.13401,2.19753,0.00114606,0.00114606,0.00114606
7,467.256,1.49473,1.97554,1.83025,0.69539,0.35078,0.34479,0.231,1.5059,2.11167,2.04405,0.00108947,0.00108947,0.00108947
8,537.816,1.45233,1.96749,1.79463,0.62512,0.3997,0.33826,0.23633,1.45059,2.1801,1.98645,0.00103288,0.00103288,0.00103288
9,606.596,1.39684,1.92335,1.75209,0.59161,0.39087,0.33006,0.22289,1.43097,1.95524,1.96425,0.000976293,0.000976293,0.000976293
10,676.093,1.37366,1.90017,1.71641,0.61441,0.37726,0.31358,0.22191,1.42836,1.97298,1.96983,0.000919704,0.000919704,0.000919704
11,744.416,1.38103,1.91828,1.73512,0.59801,0.43849,0.35212,0.24566,1.40972,1.9956,1.93274,0.000863116,0.000863116,0.000863116
12,813.092,1.34953,1.91114,1.72288,0.61829,0.41779,0.33321,0.22606,1.46021,2.01774,1.94839,0.000806528,0.000806528,0.000806528
13,880.048,1.34001,1.8854,1.73368,0.25102,0.41468,0.35299,0.25112,1.3447,1.91731,1.86308,0.000749939,0.000749939,0.000749939
14,947.983,1.30874,1.84734,1.68575,0.63629,0.40107,0.34745,0.24826,1.32036,1.85171,1.83648,0.000693351,0.000693351,0.000693351
15,1014.88,1.26585,1.81609,1.63203,0.64987,0.41468,0.34982,0.25296,1.33383,1.9149,1.82706,0.000636762,0.000636762,0.000636762
16,1083.42,1.34617,1.94128,1.79871,0.61482,0.43139,0.33024,0.2231,1.35083,1.96448,1.83823,0.000580174,0.000580174,0.000580174
17,1152.4,1.35556,1.92179,1.83284,0.2513,0.41692,0.33457,0.2314,1.34764,1.96993,1.85986,0.000523586,0.000523586,0.000523586
18,1219.47,1.29297,1.81763,1.76428,0.62439,0.40078,0.34951,0.24361,1.28327,1.88337,1.83382,0.000466997,0.000466997,0.000466997
19,1288.49,1.23564,1.73201,1.73767,0.60357,0.46541,0.35034,0.25283,1.27482,1.88669,1.83219,0.000410409,0.000410409,0.000410409
20,1356.18,1.21624,1.7928,1.73431,0.6455,0.43168,0.34089,0.25158,1.27303,1.88771,1.82284,0.00035382,0.00035382,0.00035382
21,1424.93,1.1594,1.65416,1.61871,0.67819,0.40107,0.35468,0.26739,1.23104,1.87257,1.77807,0.000297232,0.000297232,0.000297232
22,1491.37,1.16296,1.69194,1.64462,0.66151,0.4015,0.36132,0.27311,1.22657,1.82854,1.763,0.000240644,0.000240644,0.000240644
23,1562.01,1.14215,1.6444,1.61965,0.65202,0.42459,0.36349,0.27492,1.22045,1.7904,1.75399,0.000184055,0.000184055,0.000184055
24,1620.9,1.1141,1.64966,1.6209,0.64552,0.4657,0.36667,0.27655,1.22563,1.78787,1.75465,0.000127467,0.000127467,0.000127467
25,1679.67,1.12525,1.60566,1.63145,0.66024,0.45308,0.37933,0.2794,1.22738,1.76004,1.76124,7.08784e-05,7.08784e-05,7.08784e-05
