epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.063,0.6544,0.79206,1.07098,0.68057,0.5928,0.63416,0.47262,1.19672,1.61791,1.57325,0.000193958,0.000193958,0.000193958
2,208.402,0.66577,0.755,1.07282,0.66291,0.58533,0.59951,0.42602,1.2128,1.74025,1.60076,0.000382237,0.000382237,0.000382237
3,315.253,0.71282,0.78023,1.08106,0.51905,0.65604,0.61269,0.45849,1.21596,1.69746,1.61741,0.000562754,0.000562754,0.000562754
4,423.715,0.7284,0.81503,1.11715,0.55753,0.7187,0.62307,0.47235,1.22875,1.64066,1.61852,0.000553073,0.000553073,0.000553073
5,529.668,0.76109,0.84941,1.12192,0.6288,0.66738,0.62003,0.45357,1.25681,1.78436,1.62627,0.00054143,0.00054143,0.00054143
6,636.698,0.7531,0.86382,1.12579,0.6806,0.60789,0.58953,0.39106,1.27239,1.70734,1.67114,0.000529788,0.000529788,0.000529788
7,743.767,0.75264,0.87339,1.11468,0.68962,0.60789,0.62523,0.43939,1.33834,1.68419,1.72099,0.000518146,0.000518146,0.000518146
8,850.744,0.77882,0.89803,1.14196,0.58196,0.67097,0.60718,0.44388,1.32666,1.68502,1.75265,0.000506503,0.000506503,0.000506503
9,959.329,0.77483,0.894,1.13556,0.67571,0.62975,0.63171,0.46232,1.28284,1.65997,1.68646,0.000494861,0.000494861,0.000494861
10,1069.95,0.78068,0.90432,1.15274,0.6553,0.60094,0.61413,0.43444,1.3049,1.69896,1.69529,0.000483218,0.000483218,0.000483218
11,1176,0.8332,1.04002,1.18199,0.69879,0.56889,0.59015,0.4104,1.27658,1.59994,1.67891,0.000471576,0.000471576,0.000471576
12,1282.87,0.81187,0.96315,1.17583,0.67912,0.58249,0.68016,0.50544,1.21044,1.55824,1.6046,0.000459934,0.000459934,0.000459934
13,1389.26,0.78286,0.93943,1.16318,0.66597,0.61808,0.59575,0.43178,1.19096,1.62948,1.56718,0.000448291,0.000448291,0.000448291
14,1495.88,0.78454,0.90804,1.15549,0.62926,0.63639,0.6187,0.4253,1.2221,1.73932,1.59598,0.000436649,0.000436649,0.000436649
15,1602.17,0.77252,0.93246,1.15395,0.55626,0.62831,0.61988,0.45834,1.20336,1.55904,1.57379,0.000425006,0.000425006,0.000425006
16,1708.07,0.77038,0.8829,1.14025,0.59984,0.60878,0.61874,0.44624,1.24443,1.5875,1.62792,0.000413364,0.000413364,0.000413364
17,1814.02,0.78659,0.90612,1.14709,0.65207,0.62037,0.65268,0.47788,1.18045,1.48616,1.53241,0.000401722,0.000401722,0.000401722
18,1920.19,0.81087,0.94098,1.17791,0.54008,0.75075,0.65332,0.46739,1.20989,1.49773,1.55679,0.000390079,0.000390079,0.000390079
19,2026.38,0.76909,0.87869,1.15169,0.59627,0.69765,0.62889,0.45483,1.25022,1.62863,1.61342,0.000378437,0.000378437,0.000378437
20,2132.91,0.75722,0.86741,1.10749,0.69257,0.57805,0.6358,0.48927,1.19663,1.60715,1.59323,0.000366794,0.000366794,0.000366794
21,2238.24,0.77338,0.8604,1.14131,0.53506,0.63104,0.61762,0.46058,1.22182,1.61297,1.59779,0.000355152,0.000355152,0.000355152
22,2342.76,0.78217,0.88884,1.1468,0.7382,0.5723,0.61999,0.4662,1.15402,1.55947,1.53378,0.00034351,0.00034351,0.00034351
23,2447.63,0.73392,0.83754,1.11458,0.62533,0.60013,0.61932,0.45406,1.16421,1.55574,1.53343,0.000331867,0.000331867,0.000331867
24,2551.88,0.75479,0.83417,1.11924,0.66727,0.57585,0.64576,0.4867,1.19695,1.57163,1.54723,0.000320225,0.000320225,0.000320225
25,2657.58,0.7213,0.77972,1.10659,0.65806,0.59141,0.63865,0.47203,1.19428,1.60758,1.58515,0.000308582,0.000308582,0.000308582
26,2762.86,0.75609,0.82693,1.12869,0.66178,0.63466,0.6675,0.50959,1.14364,1.44549,1.51941,0.00029694,0.00029694,0.00029694
27,2868,0.74304,0.77822,1.12083,0.67509,0.72225,0.68655,0.52878,1.15068,1.43653,1.53748,0.000285298,0.000285298,0.000285298
28,2973.58,0.72451,0.77169,1.10586,0.66025,0.58502,0.64648,0.49089,1.15242,1.43735,1.55646,0.000273655,0.000273655,0.000273655
29,3081.89,0.7131,0.77021,1.12289,0.60351,0.64976,0.66993,0.51048,1.19393,1.43042,1.56937,0.000262013,0.000262013,0.000262013
30,3185.53,0.70307,0.75936,1.08348,0.73167,0.66854,0.6862,0.51513,1.16111,1.42452,1.52975,0.00025037,0.00025037,0.00025037
31,3288.85,0.69971,0.75337,1.10809,0.65587,0.653,0.6805,0.5096,1.1762,1.43705,1.55225,0.000238728,0.000238728,0.000238728
32,3392.03,0.68501,0.78463,1.09385,0.79407,0.6239,0.69558,0.52405,1.15932,1.4107,1.51702,0.000227086,0.000227086,0.000227086
33,3494.9,0.68764,0.7348,1.07393,0.72368,0.62907,0.6972,0.53317,1.13583,1.38594,1.51467,0.000215443,0.000215443,0.000215443
34,3597.12,0.69055,0.71325,1.08858,0.76499,0.60968,0.68053,0.51151,1.1538,1.3998,1.53493,0.000203801,0.000203801,0.000203801
35,3700.05,0.66524,0.69631,1.07243,0.74162,0.62615,0.68237,0.50814,1.15983,1.36136,1.55557,0.000192158,0.000192158,0.000192158
36,3803.66,0.65847,0.675,1.06773,0.78688,0.65147,0.69357,0.51113,1.181,1.34882,1.5946,0.000180516,0.000180516,0.000180516
37,3906.29,0.63852,0.68169,1.05403,0.64863,0.64769,0.66626,0.49998,1.17815,1.38539,1.55886,0.000168874,0.000168874,0.000168874
38,4008.68,0.64101,0.71501,1.05543,0.66061,0.64861,0.66012,0.50709,1.17099,1.36393,1.55929,0.000157231,0.000157231,0.000157231
39,4111.33,0.67036,0.70454,1.08601,0.80153,0.62285,0.67297,0.51209,1.1392,1.38561,1.52386,0.000145589,0.000145589,0.000145589
40,4214.37,0.63292,0.67826,1.06326,0.78297,0.62019,0.67923,0.52354,1.10983,1.41923,1.49492,0.000133946,0.000133946,0.000133946
41,4317.86,0.57068,0.63696,1.01461,0.66919,0.6065,0.65542,0.50654,1.10719,1.476,1.48469,0.000122304,0.000122304,0.000122304
42,4421.8,0.56259,0.63443,1.01708,0.62446,0.60857,0.64868,0.49919,1.11892,1.47216,1.49603,0.000110662,0.000110662,0.000110662
