epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3497,1.20043,1.75225,1.5897,0.62865,0.37046,0.32473,0.24481,1.29087,1.99108,1.85824,0.000466199,0.000466199,0.000466199
2,172.486,1.2609,1.73227,1.63612,0.62272,0.4691,0.36666,0.24245,1.46681,2.08606,2.00623,0.00092387,0.00092387,0.00092387
3,231.977,1.2664,1.75038,1.64643,0.29638,0.51377,0.32944,0.21644,1.48688,1.9502,2.02574,0.00136268,0.00136268,0.00136268
4,292.607,1.37282,1.70665,1.67889,0.26794,0.44675,0.33297,0.19535,1.60593,2.00833,2.11772,0.00134412,0.00134412,0.00134412
5,348.432,1.38999,1.73906,1.68992,0.61223,0.38377,0.33745,0.21195,1.51165,2.03181,2.02179,0.00131582,0.00131582,0.00131582
6,403.66,1.43345,1.81474,1.77568,0.30773,0.48264,0.37257,0.22642,1.51688,1.90618,1.97654,0.00128753,0.00128753,0.00128753
7,468.362,1.30091,1.68464,1.60911,0.2899,0.40447,0.33748,0.23191,1.42664,1.84602,1.91229,0.00125923,0.00125923,0.00125923
8,531.289,1.26422,1.6261,1.61444,0.59016,0.38406,0.33237,0.22809,1.43768,1.95123,1.97362,0.00123094,0.00123094,0.00123094
9,592.989,1.27314,1.67079,1.66394,0.60281,0.43139,0.33426,0.22199,1.4835,1.94113,2.0195,0.00120265,0.00120265,0.00120265
10,652.943,1.31397,1.72216,1.65902,0.65588,0.43119,0.34692,0.23447,1.41561,1.90139,1.89866,0.00117435,0.00117435,0.00117435
11,713.317,1.30679,1.74923,1.63406,0.58518,0.41439,0.33925,0.24051,1.42135,1.97679,1.95738,0.00114606,0.00114606,0.00114606
12,774.719,1.22162,1.62391,1.6194,0.63408,0.38733,0.33038,0.22987,1.36922,1.95358,1.90949,0.00111776,0.00111776,0.00111776
13,835.876,1.26072,1.69738,1.65949,0.67632,0.38577,0.34399,0.21182,1.44087,1.91245,1.98378,0.00108947,0.00108947,0.00108947
14,896.18,1.28826,1.67559,1.64846,0.66771,0.37357,0.33308,0.21888,1.40753,1.81599,1.93397,0.00106118,0.00106118,0.00106118
15,956.249,1.3007,1.72011,1.66762,0.321,0.46353,0.36589,0.26037,1.29497,1.69054,1.84888,0.00103288,0.00103288,0.00103288
16,1015.3,1.28347,1.62789,1.60372,0.32703,0.52527,0.37593,0.26822,1.3124,1.7575,1.86662,0.00100459,0.00100459,0.00100459
17,1074.88,1.13945,1.48897,1.54068,0.26076,0.49103,0.3204,0.23028,1.31923,1.87247,1.86291,0.000976293,0.000976293,0.000976293
18,1134.19,1.19271,1.58175,1.58568,0.6317,0.43002,0.34123,0.24928,1.23021,1.83464,1.7859,0.000947999,0.000947999,0.000947999
19,1193.21,1.15717,1.45983,1.54476,0.63896,0.4209,0.33332,0.24964,1.21542,2.01692,1.75855,0.000919704,0.000919704,0.000919704
20,1251.22,1.20703,1.61921,1.58727,0.61904,0.43139,0.32035,0.22916,1.25295,1.90585,1.80041,0.00089141,0.00089141,0.00089141
21,1309.52,1.20386,1.55166,1.58294,0.6852,0.44869,0.36397,0.25517,1.26451,1.70038,1.78564,0.000863116,0.000863116,0.000863116
22,1367.67,1.22567,1.56103,1.59089,0.34654,0.4927,0.38253,0.25066,1.29302,1.68564,1.8173,0.000834822,0.000834822,0.000834822
23,1427.53,1.22675,1.52953,1.59326,0.34195,0.46881,0.39598,0.28727,1.16888,1.59305,1.72204,0.000806528,0.000806528,0.000806528
24,1486.37,1.18568,1.50075,1.54713,0.32562,0.53735,0.38528,0.28399,1.19432,1.59177,1.73228,0.000778233,0.000778233,0.000778233
