epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4591.42,0.83658,1.08677,1.19111,0.57919,0.71546,0.65692,0.47632,1.07279,1.58302,1.4054,0.000349331,0.000349331,0.000349331
43,4699.84,0.84541,1.09855,1.19796,0.6434,0.62809,0.675,0.51158,1.11277,1.60407,1.42285,0.00034351,0.00034351,0.00034351
44,4808.9,0.83788,1.0943,1.20012,0.64156,0.6317,0.63857,0.46713,1.08647,1.56296,1.41582,0.000337688,0.000337688,0.000337688
45,4920.21,0.8479,1.11583,1.21046,0.61008,0.57131,0.61154,0.44555,1.11875,1.61571,1.46476,0.000331867,0.000331867,0.000331867
46,5029.24,0.82697,1.07132,1.16561,0.75,0.58121,0.66295,0.48497,1.09049,1.5091,1.44702,0.000326046,0.000326046,0.000326046
47,5137.23,0.81717,1.03997,1.16522,0.73529,0.56753,0.63322,0.46702,1.10611,1.59028,1.4628,0.000320225,0.000320225,0.000320225
48,5245.71,0.81173,1.03861,1.16493,0.55169,0.69439,0.6141,0.44413,1.08728,1.53852,1.4397,0.000314404,0.000314404,0.000314404
49,5354,0.80726,1.00924,1.15807,0.64843,0.66231,0.65591,0.49246,1.11004,1.63533,1.46244,0.000308582,0.000308582,0.000308582
50,5462.06,0.82082,1.02791,1.16085,0.72529,0.57878,0.6318,0.46353,1.07296,1.59527,1.44151,0.000302761,0.000302761,0.000302761
51,5571.01,0.78452,1.00966,1.16203,0.7654,0.57028,0.65206,0.49758,1.07816,1.53923,1.43038,0.00029694,0.00029694,0.00029694
52,5680.26,0.77234,0.99899,1.14314,0.78372,0.59085,0.7145,0.55168,1.08536,1.54091,1.44556,0.000291119,0.000291119,0.000291119
53,5791.61,0.76585,0.94269,1.14349,0.71096,0.64179,0.66838,0.49475,1.09848,1.57262,1.45383,0.000285298,0.000285298,0.000285298
54,5904.16,0.77583,0.94108,1.13279,0.586,0.75659,0.72097,0.55287,1.1255,1.46845,1.48103,0.000279476,0.000279476,0.000279476
55,6014.96,0.80954,0.98987,1.15873,0.73305,0.62307,0.72929,0.55244,1.06857,1.41932,1.41514,0.000273655,0.000273655,0.000273655
56,6127.19,0.74161,0.94281,1.12144,0.73547,0.62909,0.68426,0.5011,1.07657,1.47204,1.42714,0.000267834,0.000267834,0.000267834
57,6239.46,0.72714,0.8977,1.11488,0.59826,0.75905,0.71368,0.53361,1.06744,1.48123,1.40696,0.000262013,0.000262013,0.000262013
58,6350.49,0.74937,0.9115,1.12471,0.67464,0.73581,0.73333,0.56712,1.07524,1.42058,1.43098,0.000256192,0.000256192,0.000256192
59,6462.33,0.75594,0.91565,1.12467,0.6786,0.64615,0.66725,0.49144,1.09392,1.41738,1.45888,0.00025037,0.00025037,0.00025037
60,6573.98,0.7513,0.94016,1.14778,0.72129,0.63334,0.65995,0.47764,1.09296,1.42491,1.44499,0.000244549,0.000244549,0.000244549
61,6685.9,0.73442,0.902,1.10714,0.73724,0.64746,0.68119,0.48998,1.08484,1.37036,1.46254,0.000238728,0.000238728,0.000238728
62,6796.8,0.76123,0.91189,1.13105,0.70827,0.61937,0.66959,0.4975,1.08067,1.44847,1.45047,0.000232907,0.000232907,0.000232907
63,6905.76,0.7236,0.9147,1.12443,0.7562,0.60989,0.64005,0.47551,1.07884,1.46869,1.44968,0.000227086,0.000227086,0.000227086
64,7016.51,0.74922,0.89638,1.12534,0.76315,0.58261,0.65015,0.47891,1.10735,1.41581,1.47933,0.000221264,0.000221264,0.000221264
65,7128.08,0.74236,0.89181,1.12788,0.77188,0.58932,0.67736,0.5014,1.10947,1.44074,1.48215,0.000215443,0.000215443,0.000215443
66,7239.81,0.72751,0.87831,1.11746,0.74688,0.60847,0.68109,0.51357,1.09145,1.44031,1.46849,0.000209622,0.000209622,0.000209622
67,7352.03,0.69358,0.82036,1.07603,0.70945,0.63585,0.6741,0.4996,1.10817,1.43769,1.46751,0.000203801,0.000203801,0.000203801
68,7464.17,0.70323,0.85382,1.0916,0.7594,0.59378,0.66252,0.49285,1.10535,1.44086,1.42794,0.00019798,0.00019798,0.00019798
69,7576.76,0.71643,0.84081,1.09832,0.75831,0.59373,0.67007,0.51881,1.07283,1.40746,1.42311,0.000192158,0.000192158,0.000192158
70,7688.01,0.72017,0.85801,1.10483,0.71326,0.64864,0.67292,0.50404,1.09151,1.39313,1.46822,0.000186337,0.000186337,0.000186337
71,7798.49,0.67815,0.79871,1.07627,0.79084,0.59613,0.68153,0.50916,1.07568,1.37967,1.45596,0.000180516,0.000180516,0.000180516
72,7909.9,0.69437,0.84875,1.10546,0.7836,0.58944,0.66945,0.50906,1.05828,1.39591,1.42309,0.000174695,0.000174695,0.000174695
73,8020.84,0.71139,0.82095,1.09489,0.79488,0.59502,0.65192,0.472,1.06869,1.38705,1.4265,0.000168874,0.000168874,0.000168874
74,8131.65,0.69764,0.81226,1.08504,0.67209,0.64092,0.64928,0.4808,1.08471,1.35378,1.44085,0.000163052,0.000163052,0.000163052
75,8243.33,0.68806,0.82965,1.07893,0.68555,0.64244,0.65201,0.48884,1.08587,1.37603,1.44032,0.000157231,0.000157231,0.000157231
76,8353.33,0.69032,0.76441,1.08416,0.66737,0.60821,0.65687,0.4966,1.07432,1.3849,1.44413,0.00015141,0.00015141,0.00015141
77,8464.77,0.68408,0.77952,1.07125,0.65406,0.64554,0.66748,0.51379,1.04911,1.38218,1.42629,0.000145589,0.000145589,0.000145589
78,8576.82,0.68271,0.79325,1.08325,0.69554,0.60791,0.66531,0.51554,1.0685,1.4346,1.43792,0.000139768,0.000139768,0.000139768
79,8688.22,0.67707,0.76465,1.06768,0.72735,0.62248,0.66396,0.51191,1.04227,1.41981,1.40278,0.000133946,0.000133946,0.000133946
80,8800.57,0.64113,0.75027,1.05509,0.72592,0.63561,0.6702,0.50975,1.04018,1.35795,1.41036,0.000128125,0.000128125,0.000128125
81,8913.14,0.64424,0.73903,1.05386,0.67821,0.62761,0.69946,0.52502,1.05824,1.36106,1.47014,0.000122304,0.000122304,0.000122304
82,9024.76,0.64461,0.76467,1.07452,0.76778,0.63269,0.69646,0.52842,1.04973,1.3637,1.45619,0.000116483,0.000116483,0.000116483
83,9136.62,0.63583,0.71773,1.03965,0.74722,0.6364,0.68837,0.52552,1.03138,1.33386,1.43059,0.000110662,0.000110662,0.000110662
84,9247.43,0.65382,0.76607,1.07088,0.69681,0.65649,0.68934,0.5197,1.05312,1.33727,1.44669,0.00010484,0.00010484,0.00010484
85,9359.83,0.60662,0.68543,1.02802,0.68472,0.6532,0.69348,0.51987,1.05551,1.33844,1.44518,9.90192e-05,9.90192e-05,9.90192e-05
86,9472.84,0.68723,0.74977,1.08413,0.70449,0.66393,0.69895,0.52286,1.04593,1.32334,1.42946,9.3198e-05,9.3198e-05,9.3198e-05
