unix_ts,t_s,L,F,X,Y,Z
1777360207.691,2.591,0,0,0,0,0
1777360207.693,2.599,0,0,0,0,0
1777360210.067,4.975,936,691,1,1,0
1777360210.584,5.487,934,694,2,2,0
1777360211.092,5.998,914,670,1,0,0
1777360211.187,6.095,934,55,1,1,0
1777360211.299,6.206,934,49,1,0,0
1777360211.395,6.302,934,50,2,2,0
1777360211.508,6.415,935,59,2,0,0
1777360211.603,6.511,934,62,1,1,0
1777360211.715,6.622,933,61,1,0,0
1777360211.828,6.734,936,60,1,1,0
1777360211.924,6.831,933,63,1,0,0
1777360212.035,6.942,933,62,1,1,0
1777360212.131,7.038,935,63,1,0,0
1777360212.244,7.150,936,74,1,0,0
1777360212.341,7.246,934,80,1,1,0
1777360212.454,7.358,936,85,1,0,0
1777360212.547,7.454,934,96,1,1,0
1777360212.658,7.566,933,166,1,0,0
1777360213.170,8.078,927,641,1,1,0
1777360213.667,8.574,933,710,1,0,0
1777360214.179,9.086,933,713,1,1,0
1777360214.676,9.583,908,703,1,0,0
1777360214.786,9.693,933,44,1,1,0
1777360214.883,9.790,933,66,1,0,0
1777360215.395,10.302,933,372,0,0,0
1777360215.907,10.814,933,254,1,0,0
1777360216.003,10.910,930,67,1,1,0
1777360216.114,11.021,932,53,1,0,0
1777360216.210,11.117,933,47,1,1,0
1777360216.321,11.228,933,49,1,0,0
1777360216.433,11.340,930,51,1,1,0
1777360216.529,11.437,928,49,1,0,0
1777360216.642,11.549,924,60,1,1,0
1777360216.739,11.645,921,107,1,0,0
1777360216.849,11.757,919,198,1,1,0
1777360216.962,11.869,919,212,1,0,0
1777360217.058,11.965,921,216,1,0,0
1777360217.169,12.076,923,218,1,1,0
1777360217.265,12.172,923,202,1,0,0
1777360217.377,12.284,924,196,1,1,0
1777360217.479,12.381,922,147,1,0,0
1777360217.586,12.493,925,190,1,1,0
1777360217.682,12.589,927,223,1,0,0
1777360217.794,12.700,926,214,1,0,0
1777360217.906,12.812,927,217,1,1,0
1777360218.002,12.909,926,218,1,0,0
1777360218.113,13.020,925,219,1,1,0
1777360218.209,13.116,925,219,1,0,0
1777360218.321,13.228,927,219,1,1,0
1777360218.417,13.324,928,218,1,0,0
1777360218.530,13.436,927,220,1,0,0
1777360218.642,13.548,925,221,1,1,0
1777360218.738,13.645,928,215,1,0,0
1777360218.849,13.756,932,193,1,1,0
1777360218.947,13.853,934,169,1,0,0
1777360219.058,13.964,933,161,1,0,0
1777360219.153,14.060,934,154,1,1,0
1777360219.265,14.172,934,155,1,0,0
1777360219.377,14.284,932,134,1,1,0
1777360219.474,14.380,934,220,1,0,0
1777360219.988,14.894,927,353,1,1,0
1777360220.481,15.388,915,433,1,0,0
1777360220.992,15.899,929,264,1,1,0
1777360221.503,16.411,932,325,1,0,0
