unix_ts,t_s,L,F,X,Y,Z
1777360222.000,16.907,932,532,0,0,0
1777360222.511,17.418,929,547,4,0,0
1777360223.008,17.915,929,566,6,9,0
1777360223.520,18.427,914,344,4,4,0
1777360223.615,18.522,931,217,2,0,0
1777360223.728,18.634,932,212,0,0,0
1777360223.840,18.747,933,141,0,0,0
1777360223.935,18.842,932,93,0,0,0
1777360224.047,18.954,931,64,0,0,0
1777360224.143,19.050,933,49,0,0,0
1777360224.255,19.162,933,65,0,0,0
1777360224.352,19.258,932,67,1,0,0
1777360224.465,19.371,934,88,2,2,0
1777360224.575,19.482,932,125,3,0,0
1777360224.672,19.578,933,143,3,3,0
1777360224.783,19.690,930,172,4,0,0
1777360224.878,19.786,933,167,3,0,0
1777360224.991,19.898,932,107,3,3,0
1777360225.087,19.994,932,49,2,0,0
1777360225.199,20.106,933,22,2,2,0
1777360225.310,20.217,932,14,3,0,0
1777360225.407,20.314,935,17,3,3,0
1777360225.519,20.426,932,14,2,0,0
1777360225.614,20.521,932,12,3,3,0
1777360225.726,20.633,935,11,3,0,0
1777360225.823,20.730,932,11,3,0,0
1777360225.941,20.841,933,9,2,2,0
1777360226.032,20.937,932,4,2,0,0
1777360226.149,21.049,932,3,4,4,0
1777360226.260,21.161,930,1,2,0,0
1777360226.351,21.258,933,0,3,3,0
1777360226.463,21.369,933,1,3,0,0
1777360226.558,21.465,934,0,2,2,0
1777360226.671,21.577,931,0,3,0,0
1777360226.782,21.689,931,1,2,2,0
1777360226.879,21.786,933,1,2,0,0
1777360226.991,21.898,932,1,3,3,0
1777360227.087,21.993,933,0,2,0,0
1777360227.198,22.105,931,0,2,2,0
1777360227.295,22.201,933,0,5,0,0
1777360227.407,22.313,933,0,3,0,0
1777360227.502,22.409,931,1,3,3,0
1777360227.614,22.521,933,0,3,0,0
1777360227.726,22.633,932,0,3,3,0
1777360227.822,22.729,935,0,3,0,0
1777360227.934,22.841,934,2,5,5,0
1777360228.030,22.937,932,0,3,0,0
1777360228.142,23.049,933,0,5,5,0
1777360228.238,23.144,933,0,3,0,0
1777360228.349,23.256,933,0,4,4,0
1777360228.462,23.369,933,0,3,0,0
1777360228.557,23.464,933,0,4,4,0
1777360228.669,23.576,934,0,3,0,0
1777360228.766,23.673,932,0,4,4,0
1777360228.880,23.785,935,0,2,0,0
1777360228.991,23.896,934,0,3,3,0
1777360229.086,23.992,935,0,2,0,0
1777360229.199,24.104,933,0,4,4,0
1777360229.294,24.201,933,0,3,0,0
1777360229.406,24.312,933,0,2,0,0
1777360229.502,24.408,932,0,2,2,0
1777360229.613,24.520,935,0,3,0,0
1777360229.709,24.616,933,0,2,2,0
1777360229.821,24.728,931,0,4,0,0
1777360229.933,24.840,934,0,3,3,0
1777360230.029,24.936,933,0,1,0,0
1777360230.142,25.048,934,0,1,1,0
1777360230.289,25.144,932,0,3,0,0
1777360230.349,25.256,933,0,2,2,0
1777360230.446,25.352,932,0,2,0,0
1777360230.557,25.464,931,0,2,2,0
1777360230.669,25.576,933,0,2,0,0
1777360230.765,25.672,932,0,3,3,0
1777360230.877,25.784,935,0,3,0,0
1777360230.973,25.880,931,0,3,3,0
1777360231.085,25.992,932,0,2,0,0
1777360231.185,26.088,933,0,4,0,0
1777360231.293,26.199,932,0,3,3,0
1777360231.406,26.311,933,1,6,0,0
1777360231.500,26.408,935,2,2,2,0
1777360231.612,26.519,933,1,4,0,0
1777360231.707,26.615,932,0,3,3,0
1777360231.820,26.727,932,0,3,0,0
1777360231.915,26.823,934,2,3,3,0
1777360232.028,26.935,932,3,2,0,0
1777360232.140,27.047,934,1,2,2,0
1777360232.237,27.144,936,0,2,0,0
1777360232.349,27.255,934,0,2,2,0
1777360232.446,27.351,933,0,1,0,0
1777360232.556,27.463,933,1,3,3,0
1777360232.652,27.559,935,0,2,0,0
1777360232.766,27.671,933,0,2,2,0
1777360232.877,27.783,933,1,3,0,0
1777360232.973,27.879,932,1,3,3,0
1777360233.084,27.991,933,0,3,0,0
1777360233.180,28.087,933,0,3,0,0
1777360233.292,28.199,933,0,3,3,0
1777360233.388,28.295,935,1,3,0,0
1777360233.499,28.407,933,0,4,4,0
1777360233.596,28.503,933,1,2,0,0
1777360233.708,28.615,934,3,2,2,0
1777360233.819,28.727,933,24,2,0,0
1777360233.915,28.823,933,57,2,2,0
1777360234.029,28.934,933,78,2,0,0
1777360234.138,29.046,930,120,2,2,0
1777360234.236,29.143,935,136,3,0,0
1777360234.347,29.254,931,76,3,0,0
1777360234.444,29.351,933,53,3,3,0
1777360234.555,29.463,934,33,2,0,0
1777360234.652,29.559,932,7,1,1,0
1777360234.763,29.670,933,1,3,0,0
1777360234.859,29.766,933,0,3,3,0
1777360234.970,29.878,936,0,3,0,0
1777360235.082,29.990,933,1,2,2,0
1777360235.179,30.086,936,0,3,0,0
1777360235.292,30.198,934,0,6,6,0
1777360235.388,30.294,935,0,7,0,0
1777360235.500,30.407,935,0,3,3,0
1777360235.596,30.503,935,0,0,0,0
1777360235.708,30.614,933,0,2,2,0
1777360235.803,30.710,935,0,1,0,0
1777360235.915,30.822,934,0,4,4,0
1777360236.027,30.934,934,0,2,0,0
1777360236.123,31.030,932,0,4,0,0
1777360236.235,31.142,935,0,3,3,0
1777360236.330,31.238,934,0,3,0,0
1777360236.443,31.350,932,0,3,3,0
1777360236.539,31.446,934,0,3,0,0
1777360236.651,31.558,935,0,2,2,0
1777360236.762,31.669,932,0,3,0,0
1777360236.859,31.766,935,0,2,2,0
1777360236.973,31.878,934,0,2,0,0
1777360237.067,31.974,936,0,2,2,0
1777360237.179,32.086,934,0,3,0,0
1777360237.290,32.197,933,0,1,1,0
1777360237.387,32.294,936,0,10,0,0
1777360237.498,32.405,936,0,8,8,0
1777360237.594,32.502,935,0,2,0,0
1777360237.707,32.614,934,0,3,3,0
1777360237.802,32.709,934,0,3,0,0
1777360237.914,32.821,932,0,2,0,0
1777360238.010,32.917,935,0,3,3,0
1777360238.121,33.029,932,0,3,0,0
1777360238.234,33.141,934,0,3,3,0
1777360238.330,33.237,934,0,2,0,0
1777360238.443,33.349,933,0,3,3,0
1777360238.539,33.445,930,0,3,0,0
1777360238.650,33.557,929,1,4,4,0
1777360238.746,33.653,927,1,3,0,0
1777360238.858,33.765,927,0,2,2,0
1777360238.970,33.877,925,4,2,0,0
1777360239.066,33.973,926,0,3,3,0
1777360239.178,34.085,924,0,2,0,0
1777360239.275,34.181,923,0,2,2,0
1777360239.390,34.292,923,1,2,0,0
1777360239.482,34.389,924,0,3,3,0
1777360239.594,34.501,923,0,3,0,0
1777360239.705,34.612,922,0,2,0,0
1777360239.801,34.709,925,0,2,2,0
1777360239.913,34.820,929,0,2,0,0
1777360240.009,34.916,929,0,3,3,0
1777360240.121,35.029,932,0,3,0,0
1777360240.218,35.125,932,0,3,3,0
1777360240.329,35.236,935,0,2,0,0
1777360240.442,35.348,928,0,1,1,0
1777360240.538,35.445,928,0,3,0,0
1777360240.650,35.557,927,1,3,3,0
1777360240.747,35.653,924,0,3,0,0
1777360240.858,35.764,928,0,3,3,0
1777360240.953,35.860,927,1,2,0,0
1777360241.065,35.972,912,0,3,3,0
1777360241.178,36.084,915,1,3,0,0
1777360241.274,36.180,933,0,3,3,0
1777360241.385,36.292,933,0,12,0,0
1777360241.481,36.388,933,0,0,0,0
1777360241.594,36.501,930,0,3,3,0
1777360241.692,36.596,891,0,2,0,0
1777360241.802,36.709,898,0,3,3,0
1777360241.901,36.804,864,0,3,0,0
1777360242.008,36.915,588,0,96,96,0
1777360242.141,37.027,293,0,27,0,0
1777360242.216,37.124,247,0,7,7,0
1777360242.332,37.236,217,0,3,0,0
1777360242.424,37.331,212,0,4,4,0
1777360242.537,37.444,206,0,10,0,0
1777360242.633,37.540,202,0,7,7,0
1777360242.745,37.651,199,0,5,0,0
1777360242.856,37.764,203,0,4,4,0
1777360242.954,37.860,212,0,5,0,0
1777360243.066,37.971,216,0,6,6,0
1777360243.161,38.067,216,0,4,0,0
1777360243.272,38.179,216,0,4,4,0
1777360243.369,38.276,208,0,5,0,0
1777360243.480,38.387,206,0,9,9,0
1777360243.593,38.499,208,0,4,0,0
1777360243.688,38.595,211,0,5,0,0
1777360243.801,38.707,213,0,3,3,0
1777360243.896,38.803,225,0,5,0,0
1777360244.008,38.915,453,0,61,61,0
1777360244.104,39.011,920,0,0,0,0
1777360244.217,39.123,931,0,1,1,0
1777360244.328,39.235,930,0,1,0,0
1777360244.424,39.331,932,0,2,2,0
1777360244.536,39.443,933,1,3,0,0
1777360244.633,39.540,932,0,5,5,0
1777360244.744,39.651,932,0,15,0,0
1777360244.856,39.763,934,0,61,61,0
1777360244.954,39.859,935,0,32,0,0
1777360245.064,39.971,933,0,28,28,0
1777360245.160,40.067,932,0,15,0,0
1777360245.272,40.179,935,0,5,0,0
1777360245.368,40.275,935,0,6,6,0
1777360245.480,40.387,935,0,6,0,0
1777360245.576,40.483,934,0,3,3,0
1777360245.692,40.595,933,0,3,0,0
1777360245.809,40.707,933,1,3,3,0
1777360245.899,40.803,934,0,3,0,0
1777360246.007,40.914,933,0,3,3,0
1777360246.104,41.011,934,0,2,0,0
1777360246.217,41.122,933,0,3,3,0
1777360246.311,41.218,935,0,1,0,0
1777360246.423,41.330,932,0,1,1,0
1777360246.537,41.442,935,0,2,0,0
1777360246.632,41.538,933,0,2,2,0
1777360246.744,41.650,935,0,2,0,0
1777360246.839,41.746,933,0,2,0,0
1777360246.951,41.858,932,0,2,2,0
1777360247.047,41.954,911,1,1,0,0
1777360247.159,42.066,926,0,2,2,0
1777360247.270,42.178,908,0,6,0,0
1777360247.367,42.274,909,0,3,3,0
1777360247.479,42.385,910,0,3,0,0
1777360247.577,42.482,915,0,0,0,0
1777360247.687,42.594,916,0,2,0,0
1777360247.805,42.705,917,0,11,11,0
1777360247.896,42.802,910,0,3,0,0
1777360248.006,42.914,922,1,1,1,0
1777360248.102,43.010,931,0,1,0,0
1777360248.215,43.122,935,1,1,1,0
1777360248.311,43.218,933,0,2,0,0
1777360248.423,43.330,928,1,3,3,0
1777360248.519,43.426,891,0,9,0,0
1777360248.630,43.537,725,0,9,0,0
1777360248.727,43.634,598,0,4,4,0
1777360248.839,43.746,578,0,2,0,0
1777360248.950,43.857,565,0,2,2,0
1777360249.047,43.953,556,0,5,0,0
1777360249.158,44.065,558,1,1,1,0
1777360249.254,44.161,547,0,2,0,0
1777360249.366,44.273,545,0,1,1,0
1777360249.463,44.369,559,0,2,0,0
1777360249.574,44.481,518,0,1,1,0
1777360249.686,44.593,496,0,2,0,0
1777360249.783,44.689,501,0,3,3,0
1777360249.894,44.801,497,0,3,0,0
1777360249.990,44.897,493,0,2,2,0
1777360250.102,45.009,492,0,3,0,0
1777360250.198,45.105,488,0,2,2,0
1777360250.310,45.217,479,0,3,0,0
1777360250.422,45.329,474,0,3,3,0
1777360250.518,45.425,471,0,3,0,0
1777360250.629,45.537,469,1,2,2,0
1777360250.726,45.633,466,0,3,0,0
1777360250.839,45.745,461,0,2,2,0
1777360250.934,45.841,456,0,2,0,0
1777360251.046,45.953,447,0,1,1,0
1777360251.157,46.064,436,0,2,0,0
1777360251.254,46.161,426,0,2,0,0
1777360251.366,46.272,427,0,2,2,0
1777360251.463,46.369,439,0,0,0,0
1777360251.574,46.481,893,1,480,480,0
1777360251.670,46.577,932,0,5,0,0
1777360251.782,46.688,937,0,1,1,0
1777360251.894,46.800,933,1,2,0,0
1777360251.989,46.896,937,0,0,0,0
1777360252.101,47.008,931,1,0,0,0
1777360252.198,47.104,930,0,6,6,0
1777360252.308,47.216,934,0,2,0,0
1777360252.420,47.328,927,0,2,2,0
1777360252.518,47.424,914,1,1,0,0
1777360252.631,47.537,599,1,-22528,-22528,0
1777360252.726,47.632,408,0,2,0,0
1777360252.837,47.744,396,0,101,0,0
1777360252.933,47.840,397,0,0,0,0
1777360253.045,47.952,394,0,1,0,0
1777360253.141,48.048,396,0,1,1,0
1777360253.253,48.160,402,0,0,0,0
1777360253.365,48.272,408,1,1,1,0
1777360253.463,48.368,408,1,2,0,0
1777360253.573,48.480,486,0,11,11,0
1777360253.669,48.576,929,0,1,0,0
1777360253.781,48.688,934,0,1,1,0
1777360253.878,48.784,935,0,1,0,0
1777360253.989,48.896,935,0,1,1,0
1777360254.101,49.007,934,0,1,0,0
1777360254.197,49.104,933,0,0,0,0
1777360254.308,49.215,934,0,1,1,0
1777360254.407,49.311,934,0,1,0,0
1777360254.521,49.423,937,0,1,1,0
1777360254.612,49.520,936,0,1,0,0
1777360254.724,49.631,937,0,1,1,0
1777360254.836,49.743,931,0,1,0,0
1777360254.932,49.839,937,0,1,1,0
1777360255.045,49.951,936,0,1,0,0
1777360255.140,50.047,937,0,1,1,0
1777360255.252,50.159,934,0,1,0,0
1777360255.364,50.271,935,0,1,1,0
1777360255.462,50.367,937,0,1,0,0
1777360255.572,50.479,934,0,1,1,0
1777360255.669,50.575,937,21,0,0,0
1777360255.780,50.687,935,99,0,0,0
1777360255.876,50.783,935,98,0,0,0
1777360255.988,50.895,935,244,1,0,0
1777360256.101,51.007,937,245,1,1,0
1777360256.595,51.502,934,272,1,0,0
1777360257.108,52.015,934,338,1,1,0
1777360257.603,52.510,936,321,1,0,0
1777360258.115,53.023,933,315,1,1,0
1777360258.228,53.135,936,249,1,1,0
1777360258.323,53.230,936,165,1,0,0
1777360258.435,53.342,935,164,1,0,0
1777360258.531,53.438,933,222,1,1,0
1777360258.643,53.550,936,241,0,0,0
1777360259.139,54.046,932,274,1,1,0
1777360259.662,54.561,932,271,1,0,0
1777360260.164,55.071,936,302,1,1,0
1777360260.658,55.565,931,342,0,0,0
1777360261.170,56.077,933,349,1,1,0
1777360261.667,56.574,929,871,0,0,0
1777360262.179,57.085,930,529,1,0,0
1777360262.689,57.596,934,405,1,1,0
1777360263.185,58.092,935,472,1,0,0
1777360263.697,58.605,934,404,1,1,0
1777360264.193,59.100,935,314,1,0,0
1777360264.305,59.212,935,170,1,1,0
1777360264.401,59.308,932,158,0,0,0
1777360264.513,59.420,934,150,0,0,0
1777360264.625,59.532,934,131,1,0,0
1777360264.721,59.628,934,138,0,0,0
1777360264.833,59.740,935,244,1,0,0
1777360265.329,60.236,934,288,0,0,0
1777360265.441,60.348,936,216,1,0,0
1777360265.553,60.460,935,83,1,1,0
1777360265.649,60.556,936,80,1,0,0
1777360265.761,60.668,936,91,0,0,0
1777360265.857,60.764,934,113,1,0,0
1777360265.969,60.876,937,98,1,0,0
1777360266.066,60.972,934,101,1,1,0
1777360266.176,61.084,937,170,1,0,0
1777360266.288,61.195,937,223,1,1,0
1777360266.386,61.292,936,221,1,0,0
1777360266.496,61.403,936,216,1,1,0
1777360266.596,61.500,937,220,0,0,0
1777360266.706,61.612,937,216,1,0,0
1777360266.801,61.707,934,219,1,1,0
1777360266.913,61.819,939,226,1,0,0
1777360267.026,61.931,937,233,1,1,0
1777360267.122,62.027,938,250,1,0,0
1777360267.632,62.539,938,321,1,1,0
1777360268.130,63.036,936,301,1,0,0
1777360268.643,63.547,933,354,1,1,0
1777360269.151,64.058,937,279,1,0,0
1777360269.248,64.155,937,240,1,1,0
1777360269.360,64.266,936,235,0,0,0
1777360269.456,64.363,936,235,0,0,0
1777360269.568,64.474,938,233,0,0,0
1777360269.664,64.571,937,232,1,1,0
1777360269.776,64.682,938,226,1,0,0
1777360269.872,64.779,936,238,1,0,0
1777360269.983,64.890,935,240,1,1,0
1777360270.496,65.403,935,257,1,0,0
1777360270.993,65.898,935,385,1,1,0
1777360271.503,66.410,938,382,0,0,0
1777360271.999,66.906,935,386,1,1,0
1777360272.510,67.417,937,391,1,0,0
1777360273.021,67.929,938,370,0,0,0
1777360273.518,68.425,913,465,1,1,0
1777360274.030,68.937,887,519,1,0,0
1777360274.126,69.033,937,145,1,1,0
1777360274.237,69.144,938,124,1,0,0
1777360274.349,69.256,938,131,0,0,0
1777360274.446,69.353,938,113,1,0,0
1777360274.559,69.464,938,105,1,1,0
1777360274.653,69.560,938,103,1,0,0
1777360274.765,69.672,937,98,1,0,0
1777360274.865,69.769,937,97,1,1,0
1777360274.979,69.884,938,98,1,0,0
1777360275.069,69.976,939,92,1,1,0
1777360275.181,70.088,940,88,1,0,0
1777360275.295,70.202,938,92,1,1,0
1777360275.389,70.296,940,94,1,0,0
1777360275.501,70.408,938,92,1,0,0
1777360275.597,70.504,938,89,1,1,0
1777360275.709,70.616,938,87,1,0,0
1777360275.808,70.712,939,88,1,1,0
1777360275.919,70.824,939,88,1,0,0
1777360276.032,70.936,939,84,0,0,0
1777360276.126,71.032,937,82,0,0,0
1777360276.237,71.144,940,82,1,1,0
1777360276.333,71.240,939,79,1,0,0
1777360276.445,71.352,934,85,1,1,0
1777360276.541,71.448,938,88,1,0,0
1777360276.653,71.560,936,89,5,0,0
1777360276.765,71.672,936,87,2080,2080,0
1777360276.860,71.768,924,89,0,0,0
1777360276.972,71.879,927,90,1,1,0
1777360277.068,71.975,924,89,28,0,0
1777360277.180,72.087,924,89,0,0,0
1777360277.283,72.186,924,87,0,0,0
1777360277.388,72.295,923,88,0,0,0
1777360277.499,72.407,929,88,0,0,0
1777360277.596,72.503,934,87,3,0,0
1777360277.707,72.615,939,85,0,0,0
1777360277.805,72.712,938,84,49,0,0
1777360277.916,72.823,937,84,12,12,0
1777360278.011,72.919,938,86,9,0,0
1777360278.124,73.031,937,83,6,0,0
1777360278.237,73.143,939,85,6,6,0
1777360278.332,73.239,938,82,6,0,0
1777360278.443,73.351,938,84,1,1,0
1777360278.540,73.447,939,80,7,0,0
1777360278.652,73.559,937,81,6,6,0
1777360278.748,73.655,937,80,4,0,0
1777360278.861,73.767,938,77,7,7,0
1777360278.972,73.879,938,77,2,0,0
1777360279.069,73.975,936,80,3,3,0
1777360279.180,74.087,939,79,0,0,0
1777360279.276,74.183,936,76,0,0,0
1777360279.388,74.295,936,75,0,0,0
1777360279.483,74.391,937,80,3,0,0
1777360279.596,74.503,938,80,1,1,0
1777360279.691,74.599,935,86,5,0,0
1777360279.803,74.711,937,88,6,6,0
1777360279.916,74.822,936,87,10,0,0
1777360280.016,74.919,938,85,9,9,0
1777360280.123,75.030,937,85,10,0,0
1777360280.220,75.127,939,84,8,0,0
1777360280.336,75.238,936,83,5,5,0
1777360280.428,75.335,937,84,7,0,0
1777360280.539,75.446,940,81,6,6,0
1777360280.652,75.558,937,84,5,0,0
1777360280.747,75.654,937,81,4,4,0
1777360280.859,75.766,936,80,7,0,0
1777360280.955,75.862,937,77,6,6,0
1777360281.066,75.974,938,78,7,0,0
1777360281.163,76.070,937,80,3,0,0
1777360281.274,76.182,938,80,8,8,0
1777360281.386,76.294,938,80,5,0,0
1777360281.483,76.390,938,80,6,6,0
1777360281.595,76.502,939,82,7,0,0
1777360281.690,76.598,937,80,7,7,0
1777360281.802,76.710,938,80,6,0,0
1777360281.914,76.822,937,79,5,5,0
1777360282.011,76.918,941,79,5,0,0
1777360282.122,77.030,938,77,6,6,0
1777360282.219,77.126,936,75,7,0,0
1777360282.331,77.238,938,72,8,0,0
1777360282.427,77.334,937,76,8,8,0
1777360282.539,77.446,936,71,5,0,0
1777360282.650,77.558,936,73,4,4,0
1777360282.746,77.653,936,73,5,0,0
1777360282.858,77.765,937,64,5,5,0
1777360282.955,77.862,940,60,7,0,0
1777360283.068,77.974,939,62,5,5,0
1777360283.161,78.069,938,62,4,0,0
1777360283.274,78.181,940,65,7,0,0
1777360283.371,78.277,938,69,5,5,0
1777360283.482,78.389,940,66,6,0,0
1777360283.597,78.502,940,62,4,4,0
1777360283.691,78.598,939,56,3,0,0
1777360283.803,78.710,936,54,3,3,0
1777360283.899,78.805,939,49,6,0,0
1777360284.012,78.918,939,46,4,4,0
1777360284.107,79.014,937,39,6,0,0
1777360284.219,79.125,937,43,0,0,0
1777360284.331,79.237,939,37,10,0,0
1777360284.427,79.333,936,38,3,0,0
1777360284.538,79.445,939,37,5,5,0
1777360284.634,79.541,938,39,3,0,0
1777360284.746,79.653,938,35,5,5,0
1777360284.842,79.749,938,37,7,0,0
1777360284.954,79.861,937,37,7,7,0
1777360285.066,79.973,935,38,6,0,0
1777360285.167,80.069,936,39,5,5,0
1777360285.274,80.180,941,45,5,0,0
1777360285.370,80.277,937,43,4,0,0
1777360285.482,80.389,938,47,7,7,0
1777360285.577,80.485,938,48,7,0,0
1777360285.689,80.596,936,49,5,5,0
1777360285.801,80.709,940,47,6,0,0
1777360285.898,80.805,938,49,8,8,0
1777360286.010,80.917,937,53,7,0,0
1777360286.108,81.013,936,56,3,3,0
1777360286.219,81.125,938,62,5,0,0
1777360286.313,81.220,938,63,6,0,0
1777360286.426,81.332,938,64,4,4,0
1777360286.537,81.444,938,67,7,0,0
1777360286.633,81.540,938,70,5,5,0
1777360286.746,81.652,940,67,7,0,0
1777360286.841,81.748,938,71,6,6,0
1777360286.953,81.860,938,71,5,0,0
1777360287.050,81.956,939,72,6,6,0
1777360287.162,82.068,937,71,5,0,0
1777360287.273,82.180,939,68,5,5,0
1777360287.369,82.276,940,69,6,0,0
1777360287.481,82.388,939,71,6,0,0
1777360287.577,82.484,938,69,5,5,0
1777360287.688,82.596,940,71,6,0,0
1777360287.790,82.692,941,72,6,6,0
1777360287.901,82.804,938,71,6,0,0
1777360288.013,82.916,937,71,6,6,0
1777360288.105,83.012,940,69,5,0,0
1777360288.217,83.124,941,70,6,6,0
1777360288.313,83.220,937,71,6,0,0
1777360288.426,83.331,938,68,6,0,0
1777360288.523,83.428,939,71,6,6,0
1777360288.634,83.540,939,68,6,0,0
1777360288.744,83.651,941,69,7,7,0
1777360288.840,83.747,938,67,5,0,0
1777360288.953,83.860,939,67,7,7,0
1777360289.050,83.955,941,68,3,0,0
1777360289.161,84.067,937,67,3,3,0
1777360289.256,84.163,938,67,6,0,0
1777360289.369,84.275,939,69,5,0,0
1777360289.480,84.387,937,69,5,5,0
1777360289.577,84.484,939,70,6,0,0
1777360289.688,84.595,937,67,4,4,0
1777360289.784,84.691,937,68,3,0,0
1777360289.896,84.803,937,75,7,7,0
1777360289.992,84.899,939,78,4,0,0
1777360290.107,85.012,940,81,4,4,0
1777360290.202,85.107,939,80,6,0,0
1777360290.312,85.219,938,78,5,5,0
1777360290.425,85.331,937,76,4,0,0
1777360290.520,85.427,940,73,5,0,0
1777360290.633,85.539,941,75,6,6,0
1777360290.727,85.635,939,73,7,0,0
1777360290.840,85.747,937,71,12,12,0
1777360290.937,85.844,939,71,9,0,0
1777360291.047,85.955,937,74,4,4,0
1777360291.160,86.067,938,76,6,0,0
1777360291.258,86.163,937,80,0,0,0
1777360291.367,86.275,940,80,6,0,0
1777360291.464,86.371,938,79,4,0,0
1777360291.575,86.483,940,78,5,5,0
1777360291.672,86.579,941,77,6,0,0
1777360291.784,86.690,940,75,5,5,0
1777360291.895,86.802,940,76,5,0,0
1777360291.992,86.899,937,75,5,5,0
1777360292.103,87.010,939,78,5,0,0
1777360292.199,87.106,938,77,6,6,0
1777360292.312,87.218,941,75,4,0,0
1777360292.406,87.314,941,76,4,0,0
1777360292.520,87.426,938,80,2,2,0
1777360292.631,87.538,942,77,4,0,0
1777360292.735,87.634,937,74,11,11,0
1777360292.846,87.746,940,71,7,0,0
1777360292.935,87.842,937,71,4,4,0
1777360293.052,87.954,940,71,5,0,0
1777360293.158,88.066,941,74,4,4,0
1777360293.255,88.162,940,73,6,0,0
1777360293.366,88.273,938,71,3,0,0
1777360293.462,88.370,942,71,6,6,0
1777360293.574,88.482,940,72,3,0,0
1777360293.671,88.578,940,74,4,4,0
1777360293.783,88.690,939,73,6,0,0
1777360293.880,88.786,937,74,3,3,0
1777360293.991,88.898,937,73,6,0,0
1777360294.103,89.010,938,73,5,5,0
1777360294.199,89.106,938,75,4,0,0
1777360294.311,89.218,939,77,6,6,0
1777360294.407,89.314,937,76,5,0,0
1777360294.519,89.426,942,75,6,0,0
1777360294.615,89.522,937,76,5,5,0
1777360294.726,89.634,940,76,7,0,0
1777360294.839,89.745,939,75,5,5,0
1777360294.936,89.841,938,77,5,0,0
1777360295.052,89.953,940,79,7,7,0
1777360295.142,90.049,942,76,5,0,0
1777360295.254,90.161,941,78,7,7,0
1777360295.355,90.260,940,77,6,0,0
1777360295.461,90.369,941,78,5,0,0
1777360295.575,90.481,940,76,5,5,0
1777360295.674,90.579,942,78,6,0,0
1777360295.784,90.689,942,77,6,6,0
1777360295.878,90.785,940,77,5,0,0
1777360295.991,90.898,940,76,4,4,0
1777360296.086,90.993,942,76,5,0,0
1777360296.198,91.105,937,79,6,6,0
1777360296.310,91.217,941,76,4,0,0
1777360296.406,91.313,938,77,5,0,0
1777360296.518,91.425,939,78,6,6,0
1777360296.614,91.521,941,78,6,0,0
1777360296.728,91.633,940,79,3,3,0
1777360296.822,91.729,942,77,5,0,0
1777360296.934,91.841,938,79,3,3,0
1777360297.046,91.953,942,78,7,0,0
1777360297.142,92.049,938,75,7,7,0
