unix_ts,t_s,L,F,X,Y,Z
1777305081.215,2.590,0,0,0,0,0
1777305081.231,2.606,0,0,0,0,0
1777305083.204,4.580,711,0,3,6,0
1777305083.316,4.685,711,0,8,8,0
1777305083.451,4.797,711,0,5,5,0
1777305083.531,4.896,710,0,3,0,0
1777305083.646,5.005,710,0,2,0,0
1777305083.733,5.102,711,0,1,1,0
1777305083.836,5.212,711,0,0,0,0
1777305083.962,5.318,711,0,0,0,0
1777305084.046,5.422,711,0,1,0,0
1777305084.170,5.535,711,0,1,1,0
1777305084.263,5.639,710,0,3,0,0
1777305084.387,5.740,710,0,4,4,0
1777305084.475,5.837,711,0,9,0,0
1777305084.579,5.954,711,0,6,6,0
1777305084.701,6.053,711,0,8,0,0
1777305084.796,6.161,711,0,4,4,0
1777305084.918,6.277,710,0,3,0,0
1777305085.016,6.369,710,0,1,1,0
1777305085.121,6.481,711,0,1,0,0
1777305085.211,6.576,710,0,0,0,0
1777305085.322,6.684,711,0,1,0,0
1777305085.414,6.783,711,0,0,0,0
1777305085.535,6.911,710,0,1,0,0
1777305085.637,7.013,710,0,1,1,0
1777305085.758,7.112,710,0,1,0,0
1777305085.853,7.212,710,0,5,0,0
1777305085.955,7.321,710,0,3,3,0
1777305086.071,7.436,709,0,11,0,0
1777305086.165,7.526,710,0,6,6,0
1777305086.271,7.629,710,0,7,0,0
1777305086.403,7.751,710,0,6,6,0
1777305086.468,7.843,710,0,6,0,0
1777305086.593,7.958,709,0,1,1,0
1777305086.667,8.043,701,0,1,0,0
1777305086.779,8.155,584,0,0,0,0
1777305086.889,8.251,462,0,1,0,0
1777305086.986,8.363,280,0,2,2,0
1777305087.082,8.458,209,0,4,0,0
1777305087.198,8.573,180,0,7,7,0
1777305087.308,8.683,166,0,4,0,0
1777305087.428,8.779,158,0,4,4,0
1777305087.514,8.890,149,0,2,0,0
1777305087.644,8.994,144,0,1,1,0
1777305087.725,9.101,143,0,1,0,0
1777305087.835,9.195,156,0,0,0,0
1777305087.932,9.308,210,0,1,0,0
1777305088.042,9.418,307,0,1,1,0
1777305088.138,9.514,367,0,1,0,0
1777305088.250,9.626,419,1,2,2,0
1777305088.363,9.739,454,0,4,0,0
1777305088.457,9.833,469,0,5,0,0
1777305088.553,9.929,490,0,3,3,0
1777305088.665,10.041,545,0,8,0,0
1777305088.780,10.156,668,0,4,4,0
1777305088.876,10.252,701,0,5,0,0
1777305088.986,10.361,706,0,4,4,0
1777305089.095,10.471,708,0,7,0,0
1777305089.213,10.570,709,0,3,3,0
1777305089.309,10.685,710,0,7,0,0
1777305089.412,10.788,709,0,4,4,0
1777305089.532,10.892,710,0,6,0,0
1777305089.611,10.987,710,0,6,6,0
1777305089.733,11.101,709,0,7,0,0
1777305089.827,11.202,708,0,6,6,0
1777305089.943,11.310,694,0,3,0,0
1777305090.033,11.409,571,0,3,3,0
1777305090.145,11.520,467,0,1,0,0
1777305090.248,11.624,333,0,0,0,0
1777305090.345,11.720,254,0,0,0,0
1777305090.458,11.833,217,0,1,1,0
1777305090.552,11.928,192,0,0,0,0
1777305090.664,12.040,174,0,1,1,0
1777305090.795,12.157,205,0,1,0,0
1777305090.874,12.249,262,0,4,4,0
1777305090.987,12.363,361,0,7,0,0
1777305091.082,12.458,474,0,6,6,0
1777305091.192,12.568,587,0,6,0,0
1777305091.288,12.664,675,0,2,0,0
1777305091.422,12.784,696,0,1,1,0
1777305091.531,12.892,705,0,1,0,0
1777305091.642,12.988,708,0,0,0,0
1777305091.725,13.101,708,0,0,0,0
1777305091.827,13.202,709,0,1,1,0
1777305091.927,13.303,709,0,1,0,0
1777305092.044,13.405,709,0,1,1,0
1777305092.136,13.511,704,0,4,0,0
1777305092.273,13.619,659,0,5,5,0
1777305092.348,13.724,525,0,7,0,0
1777305092.461,13.837,395,0,5,5,0
1777305092.574,13.939,276,0,7,0,0
1777305092.663,14.039,293,0,5,5,0
1777305092.764,14.139,241,0,9,0,0
1777305092.871,14.247,226,0,6,6,0
1777305092.975,14.351,316,0,9,0,0
1777305093.089,14.465,647,0,4,4,0
1777305093.191,14.566,701,0,9,0,0
1777305093.286,14.662,706,0,7,7,0
1777305093.413,14.777,707,0,5,0,0
1777305093.526,14.887,706,0,3,3,0
1777305093.619,14.985,707,0,1,0,0
1777305093.718,15.094,708,0,4,4,0
1777305093.825,15.200,707,0,1,0,0
1777305093.944,15.305,708,0,3,0,0
1777305094.030,15.406,707,0,1,1,0
1777305094.153,15.515,708,0,1,0,0
1777305094.242,15.607,708,0,1,1,0
1777305094.357,15.721,708,0,1,0,0
