epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.733,1.19719,3.98376,1.48581,0.01294,0.64312,0.09438,0.07163,0.94666,4.11751,1.29632,0.000191917,0.000191917,0.000191917
2,231.261,1.1168,3.65513,1.4313,0.87186,0.09106,0.13956,0.09342,1.22482,3.70979,1.49764,0.000311109,0.000311109,0.000311109
3,347.043,1.19905,3.3196,1.47708,0.44098,0.23043,0.22449,0.16465,1.19403,3.25301,1.50416,0.000352686,0.000352686,0.000352686
4,461.674,1.15335,3.09805,1.47376,0.52199,0.2729,0.28072,0.21571,1.14189,3.04381,1.4714,0.000238728,0.000238728,0.000238728
5,576.39,1.1525,2.90167,1.45434,0.42571,0.35326,0.28323,0.21662,1.09481,2.83831,1.41219,0.000122304,0.000122304,0.000122304
